Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
3-Aug-22,18:55,36.2,62.1,98.3,86.4,62.1,148.5,207
3-Aug-22,19:00,35,62.1,97.1,82.7,62.1,144.8,200
3-Aug-22,19:05,34,62.1,96.1,79.9,62.1,142,187
3-Aug-22,19:10,32.9,62.1,95,75.7,62.1,137.8,197
3-Aug-22,19:15,31.9,62.1,94,71.4,62.1,133.5,197
3-Aug-22,19:20,30.7,62.1,92.8,67.7,62.1,129.8,190
3-Aug-22,19:25,29.5,62.1,91.6,64.4,62.1,126.5,180
3-Aug-22,19:30,28.2,62.1,90.3,60.8,62.1,122.9,170
3-Aug-22,19:35,26.9,62.1,89,57.2,62.1,119.3,177
3-Aug-22,19:40,25.5,62.1,87.6,53.7,62.1,115.8,170
3-Aug-22,19:45,24.1,62.1,86.2,50.5,62.1,112.6,166
3-Aug-22,19:50,22.8,62.1,84.9,47.5,62.1,109.6,166
3-Aug-22,19:55,21.5,62.1,83.6,44.6,62.1,106.7,156
3-Aug-22,20:00,20.2,62.1,82.3,41.9,62.1,104,153
3-Aug-22,20:05,19,62.1,81.1,39.3,62.1,101.4,149
3-Aug-22,20:10,17.8,62.1,79.9,36.9,62.1,99,149
3-Aug-22,20:15,16.7,62.1,78.8,34.6,62.1,96.7,142
3-Aug-22,20:20,15.7,62.1,77.8,32.2,62.1,94.3,146
3-Aug-22,20:25,14.7,62.1,76.8,29.9,62.1,92,139
3-Aug-22,20:30,13.8,62.1,75.9,27.7,62.1,89.8,142
3-Aug-22,20:35,12.9,62.1,75,25.6,62.1,87.7,142
3-Aug-22,20:40,12.1,62.1,74.2,23.6,62.1,85.7,124
3-Aug-22,20:45,11.3,62.1,73.4,21.7,62.1,83.8,119
3-Aug-22,20:50,10.6,62.1,72.7,20,62.1,82.1,124
3-Aug-22,20:55,9.9,62.1,72,18.3,62.1,80.4,124
3-Aug-22,21:00,9.3,62.1,71.4,16.9,62.1,79,121
3-Aug-22,21:05,8.7,62.1,70.8,15.5,62.1,77.6,119
3-Aug-22,21:10,8.2,62.1,70.3,14.3,62.1,76.4,114
3-Aug-22,21:15,7.6,62.1,69.7,13.1,62.1,75.2,114
3-Aug-22,21:20,7.2,62.1,69.3,12.1,62.1,74.2,114
3-Aug-22,21:25,6.7,62.1,68.8,11.1,62.1,73.2,114
3-Aug-22,21:30,6.3,62.1,68.4,10.2,62.1,72.3,114
3-Aug-22,21:35,5.9,62.1,68,9.4,62.1,71.5,113
3-Aug-22,21:40,5.5,62.1,67.6,8.7,62.1,70.8,111
3-Aug-22,21:45,5.1,62.1,67.2,8,62.1,70.1,110
3-Aug-22,21:50,4.8,62.1,66.9,7.4,62.1,69.5,108
3-Aug-22,21:55,4.5,62.1,66.6,6.8,62.1,68.9,110
3-Aug-22,22:00,4.2,62.1,66.3,6.3,62.1,68.4,108
3-Aug-22,22:05,3.9,62.1,66,5.8,62.1,67.9,108
3-Aug-22,22:10,3.6,62.1,65.7,5.3,62.1,67.4,108
3-Aug-22,22:15,3.4,62.1,65.5,4.9,62.1,67,106
3-Aug-22,22:20,3.1,62.1,65.2,4.5,62.1,66.6,108
3-Aug-22,22:25,2.9,62.1,65,4.1,62.1,66.2,108
3-Aug-22,22:30,2.7,62.1,64.8,3.8,62.1,65.9,104
3-Aug-22,22:35,2.5,62.1,64.6,3.5,62.1,65.6,101
3-Aug-22,22:40,2.3,62.1,64.4,3.2,62.1,65.3,104
3-Aug-22,22:45,2.1,62.1,64.2,2.9,62.1,65,104
3-Aug-22,22:50,1.9,62.1,64,2.6,62.1,64.7,104
3-Aug-22,22:55,1.7,62.1,63.8,2.4,62.1,64.5,101
3-Aug-22,23:00,1.5,62.1,63.6,2.1,62.1,64.2,99.1
3-Aug-22,23:05,1.3,62.1,63.4,1.9,62.1,64,99.1
3-Aug-22,23:10,1.1,62.1,63.2,1.7,62.1,63.8,100
3-Aug-22,23:15,0.9,62.1,63,1.5,62.1,63.6,99.1
3-Aug-22,23:20,0.7,62.1,62.8,1.2,62.1,63.3,100
3-Aug-22,23:25,0.5,62.1,62.6,1,62.1,63.1,100
3-Aug-22,23:30,0.2,62.1,62.3,0.8,62.1,62.9,99.1
3-Aug-22,23:35,0.1,62.1,62.2,0.6,62.1,62.7,96.7
3-Aug-22,23:40,0.1,62.1,62.2,0.3,62.1,62.4,97.9
3-Aug-22,23:45,0,62.1,62.1,0.2,62.1,62.3,96.7
3-Aug-22,23:50,0,62.1,62.1,0.1,62.1,62.2,97.9
3-Aug-22,23:55,0,62.1,62.1,0,62.1,62.1,96.7
4-Aug-22,0:00,0,62.1,62.1,0,62.1,62.1,95.5
4-Aug-22,0:05,0,62.1,62.1,0,62.1,62.1,95.5
