Date,Time,Pre_GC90,Pre_GC150,Pre_Outflow,Post_GC90,Post_GC150,Post_Outflow,Obs
9-Jul-22,19:55,0,29.8,29.8,208.4,64.1,272.5,
9-Jul-22,20:00,0,29.8,29.8,209.7,55.7,265.4,116
9-Jul-22,20:05,0,29.8,29.8,185.4,49.3,234.8,
9-Jul-22,20:10,0.1,29.8,29.9,173,44.5,217.4,
9-Jul-22,20:15,0.1,29.8,29.9,225.7,40.8,266.5,86.8
9-Jul-22,20:20,0.2,29.8,30,467.6,38.1,505.7,
9-Jul-22,20:25,0.2,29.8,30,621.9,36,657.8,
9-Jul-22,20:30,0.3,29.8,30.1,451.9,34.4,486.4,689
9-Jul-22,20:35,0.3,29.8,30.1,398.9,33.3,432.2,
9-Jul-22,20:40,0.3,29.8,30.1,433.4,32.4,465.9,
9-Jul-22,20:45,0.3,29.8,30.1,369.6,31.8,401.4,558
9-Jul-22,20:50,0.4,29.8,30.2,323.7,31.3,355,
9-Jul-22,20:55,0.4,29.8,30.2,305.3,30.9,336.2,
9-Jul-22,21:00,0.4,29.8,30.2,278,30.7,308.7,320
9-Jul-22,21:05,0.5,29.8,30.3,232.1,30.4,262.5,
9-Jul-22,21:10,0.6,29.8,30.4,225.5,30.2,255.8,
9-Jul-22,21:15,0.7,29.8,30.5,187.9,30,217.9,234
9-Jul-22,21:20,0.8,29.8,30.6,177.1,29.9,207,
9-Jul-22,21:25,0.9,29.8,30.7,155.7,29.8,185.5,
9-Jul-22,21:30,1,29.8,30.8,140.1,29.8,169.9,177
9-Jul-22,21:35,1.2,29.8,31,126.4,29.8,156.2,
9-Jul-22,21:40,1.3,29.8,31.1,113.4,29.8,143.2,
9-Jul-22,21:45,1.4,29.8,31.2,102.7,29.8,132.5,119
9-Jul-22,21:50,1.5,29.8,31.3,95.2,29.8,125,
9-Jul-22,21:55,1.6,29.8,31.4,110.3,29.8,140.1,
9-Jul-22,22:00,1.6,29.8,31.4,184,29.8,213.8,96.6
9-Jul-22,22:05,1.6,29.8,31.4,186.3,29.8,216.1,
9-Jul-22,22:10,1.6,29.8,31.4,107.8,29.8,137.6,
9-Jul-22,22:15,1.5,29.8,31.3,121.7,29.8,151.5,88.5
9-Jul-22,22:20,1.5,29.8,31.3,117,29.8,146.8,
9-Jul-22,22:25,1.4,29.8,31.2,97,29.8,126.8,
9-Jul-22,22:30,1.3,29.8,31.1,92.7,29.8,122.5,77.3
9-Jul-22,22:35,1.2,29.8,31,85.2,29.8,115,
9-Jul-22,22:40,1.2,29.8,31,80.7,29.8,110.5,
9-Jul-22,22:45,1.1,29.8,30.9,76.5,29.8,106.3,80.7
9-Jul-22,22:50,1,29.8,30.8,71.1,29.8,100.9,
9-Jul-22,22:55,0.9,29.8,30.7,65.5,29.8,95.3,
9-Jul-22,23:00,0.8,29.8,30.6,59.8,29.8,89.6,87.6
9-Jul-22,23:05,0.8,29.8,30.6,53.6,29.8,83.4,
9-Jul-22,23:10,0.7,29.8,30.5,47.8,29.8,77.6,
9-Jul-22,23:15,0.6,29.8,30.4,42.4,29.8,72.2,84.1
9-Jul-22,23:20,0.5,29.8,30.3,37.5,29.8,67.3,
9-Jul-22,23:25,0.4,29.8,30.2,33.1,29.8,62.9,
9-Jul-22,23:30,0.3,29.8,30.1,29.1,29.8,58.9,82.4
9-Jul-22,23:35,0.2,29.8,30,25.6,29.8,55.4,
9-Jul-22,23:40,0.2,29.8,30,22.5,29.8,52.3,
9-Jul-22,23:45,0.1,29.8,29.9,19.8,29.8,49.6,78.1
9-Jul-22,23:50,0.1,29.8,29.9,17.4,29.8,47.2,
9-Jul-22,23:55,0.1,29.8,29.9,15.2,29.8,45,
10-Jul-22,0:00,0.1,29.8,29.9,13.4,29.8,43.2,72.2
10-Jul-22,0:05,0.1,29.8,29.9,11.7,29.8,41.5,
10-Jul-22,0:10,0.1,29.8,29.9,10.3,29.8,40.1,
10-Jul-22,0:15,0.1,29.8,29.9,9,29.8,38.8,67.3
10-Jul-22,0:20,0,29.8,29.8,7.9,29.8,37.7,
10-Jul-22,0:25,0,29.8,29.8,6.9,29.8,36.7,
10-Jul-22,0:30,0,29.8,29.8,6.1,29.8,35.9,64.1
10-Jul-22,0:35,0,29.8,29.8,5.3,29.8,35.1,
10-Jul-22,0:40,0,29.8,29.8,4.7,29.8,34.5,
10-Jul-22,0:45,0,29.8,29.8,4.1,29.8,33.9,61.8
10-Jul-22,0:50,0,29.8,29.8,3.5,29.8,33.3,
10-Jul-22,0:55,0,29.8,29.8,3.1,29.8,32.9,
10-Jul-22,1:00,0,29.8,29.8,2.7,29.8,32.5,58.6
