Date,Time,Inflow GC90,InflowGC150,Outflow
13-Jul-22,7:55,0,0,0
13-Jul-22,8:00,0,0,0
13-Jul-22,8:05,0,0,0
13-Jul-22,8:10,0,0,0
13-Jul-22,8:15,0,0,0
13-Jul-22,8:20,0,0,0
13-Jul-22,8:25,0,0,0
13-Jul-22,8:30,0,0,0
13-Jul-22,8:35,0,0,0
13-Jul-22,8:40,0,0,0
13-Jul-22,8:45,0,0,0
13-Jul-22,8:50,0,0,0
13-Jul-22,8:55,0,0,0
13-Jul-22,9:00,0,0,0
13-Jul-22,9:05,0,0,0
13-Jul-22,9:10,0,0,0
13-Jul-22,9:15,0,0,0
13-Jul-22,9:20,0,0,0
13-Jul-22,9:25,0,0,0
13-Jul-22,9:30,0,0,0
13-Jul-22,9:35,0,0,0
13-Jul-22,9:40,0,0,0
13-Jul-22,9:45,0,0,0
13-Jul-22,9:50,0,0,0
13-Jul-22,9:55,0,0,0
13-Jul-22,10:00,0,0,0
13-Jul-22,10:05,0,0,0
13-Jul-22,10:10,0,0,0
13-Jul-22,10:15,0,0,0
13-Jul-22,10:20,0,0,0
13-Jul-22,10:25,0,0,0
13-Jul-22,10:30,0,0,0
13-Jul-22,10:35,0,0,0
13-Jul-22,10:40,0,0,0
13-Jul-22,10:45,0,0,0
13-Jul-22,10:50,0,0,0
13-Jul-22,10:55,0,0,0
26-Jul-22,11:00,0,0,0
26-Jul-22,11:05,0,0,0
26-Jul-22,11:10,0,0,0
26-Jul-22,11:15,0,0,0
26-Jul-22,11:20,0,0,0
26-Jul-22,11:25,0,0,0
26-Jul-22,11:30,0,0,0
26-Jul-22,11:35,0,0,0
26-Jul-22,11:40,0,0,0
26-Jul-22,11:45,0,0,0
26-Jul-22,11:50,0,0,0
26-Jul-22,11:55,0,0,0
26-Jul-22,12:00,0,0,0
26-Jul-22,12:05,0,0,0
26-Jul-22,12:10,0,0,0
26-Jul-22,12:15,0,0,0
26-Jul-22,12:20,0,0,0
26-Jul-22,12:25,0,0,0
26-Jul-22,12:30,0,0,0
26-Jul-22,12:35,0,0,0
26-Jul-22,12:40,0,0,0
26-Jul-22,12:45,0,0,0
26-Jul-22,12:50,0,0,0
26-Jul-22,12:55,0,0,0
26-Jul-22,13:00,0,0,0
26-Jul-22,13:05,0.1,0,0.1
26-Jul-22,13:10,0.1,0,0.1
26-Jul-22,13:15,0.1,0,0.1
26-Jul-22,13:20,0.2,0,0.2
26-Jul-22,13:25,0.2,0,0.2
26-Jul-22,13:30,184,0,184
26-Jul-22,13:35,719.4,0,719.4
26-Jul-22,13:40,284.9,0,284.9
26-Jul-22,13:45,159.5,0,159.5
26-Jul-22,13:50,443.2,0,443.2
26-Jul-22,13:55,211.5,0,211.5
26-Jul-22,14:00,177.6,0,177.6
26-Jul-22,14:05,271.6,0,271.6
26-Jul-22,14:10,131.7,0,131.7
26-Jul-22,14:15,186.2,0,186.2
26-Jul-22,14:20,131.5,0,131.5
26-Jul-22,14:25,125.8,0,125.8
26-Jul-22,14:30,104.7,0,104.7
26-Jul-22,14:35,93.9,0,93.9
26-Jul-22,14:40,82.2,0,82.2
26-Jul-22,14:45,72.5,0,72.5
26-Jul-22,14:50,64.1,0,64.1
26-Jul-22,14:55,54.9,0,54.9
26-Jul-22,15:00,46.8,0,46.8
26-Jul-22,15:05,39.9,0,39.9
26-Jul-22,15:10,34.2,0,34.2
26-Jul-22,15:15,29.3,0,29.3
26-Jul-22,15:20,25.1,0,25.1
26-Jul-22,15:25,21.6,0,21.6
26-Jul-22,15:30,18.5,0,18.5
26-Jul-22,15:35,15.9,0,15.9
26-Jul-22,15:40,13.6,0,13.6
26-Jul-22,15:45,11.6,0,11.6
26-Jul-22,15:50,10,0,10
26-Jul-22,15:55,8.5,0,8.5
26-Jul-22,16:00,7.3,0,7.3
26-Jul-22,16:05,6.3,0,6.3
26-Jul-22,16:10,5.4,0,5.4
26-Jul-22,16:15,4.6,0,4.6
26-Jul-22,16:20,3.9,0,3.9
26-Jul-22,16:25,3.3,0,3.3
26-Jul-22,16:30,2.8,0,2.8
26-Jul-22,16:35,2.3,0,2.3
26-Jul-22,16:40,1.9,0,1.9
26-Jul-22,16:45,1.6,0,1.6
26-Jul-22,16:50,1.3,0,1.3
26-Jul-22,16:55,1,0,1
26-Jul-22,17:00,0.7,0,0.7
26-Jul-22,17:05,0.4,0,0.4
26-Jul-22,17:10,0.2,0,0.2
26-Jul-22,17:15,0.1,0,0.1
26-Jul-22,17:20,0.1,0,0.1
26-Jul-22,17:25,0,0,0
26-Jul-22,17:30,0,0,0
26-Jul-22,17:35,0,0,0
26-Jul-22,17:40,0,0,0
26-Jul-22,17:45,0,0,0
26-Jul-22,17:50,0,0,0
26-Jul-22,17:55,0,0,0
26-Jul-22,18:00,0,0,0
26-Jul-22,18:05,0,0,0
26-Jul-22,18:10,0,0,0
26-Jul-22,18:15,0,0,0
26-Jul-22,18:20,0,0,0
26-Jul-22,18:25,0,0,0
26-Jul-22,18:30,0,0,0
26-Jul-22,18:35,0,0,0
26-Jul-22,18:40,0,0,0
26-Jul-22,18:45,0,0,0
26-Jul-22,18:50,0,0,0
26-Jul-22,18:55,0,0,0
26-Jul-22,19:00,0,0,0
26-Jul-22,19:05,0,0,0
26-Jul-22,19:10,0,1.1,1.1
26-Jul-22,19:15,0,4.5,4.5
26-Jul-22,19:20,0,11,11
26-Jul-22,19:25,0.1,19.3,19.3
26-Jul-22,19:30,0.1,26,26.1
26-Jul-22,19:35,0.2,29.3,29.5
26-Jul-22,19:40,0.3,29.1,29.3
26-Jul-22,19:45,0.3,26.3,26.6
26-Jul-22,19:50,1.1,21.4,22.4
26-Jul-22,19:55,7.2,16.4,23.6
26-Jul-22,20:00,27.9,12.3,40.2
26-Jul-22,20:05,57.6,9.3,66.8
26-Jul-22,20:10,79.2,6.8,86
26-Jul-22,20:15,78.9,5,83.9
26-Jul-22,20:20,73.2,3.7,76.9
26-Jul-22,20:25,65.8,2.7,68.6
26-Jul-22,20:30,57.1,2,59.1
26-Jul-22,20:35,48.2,1.5,49.7
26-Jul-22,20:40,41.8,1.1,42.9
26-Jul-22,20:45,39.5,0.8,40.3
26-Jul-22,20:50,80.8,0.6,81.4
26-Jul-22,20:55,273.8,0.4,274.2
26-Jul-22,21:00,229.1,0.3,229.5
26-Jul-22,21:05,191.3,0.2,191.5
26-Jul-22,21:10,193.9,0.2,194
26-Jul-22,21:15,161.9,0.1,162
26-Jul-22,21:20,148.7,0.1,148.7
26-Jul-22,21:25,130.7,0,130.7
26-Jul-22,21:30,116.3,0,116.3
26-Jul-22,21:35,103.1,0,103.1
26-Jul-22,21:40,91.6,0,91.6
26-Jul-22,21:45,81.9,0,81.9
26-Jul-22,21:50,73.2,0,73.2
26-Jul-22,21:55,65.6,0,65.6
26-Jul-22,22:00,58,0,58
26-Jul-22,22:05,50.3,0,50.3
26-Jul-22,22:10,43.5,0,43.5
